id,first_name,last_name,email,signup_date,last_login,amount_spent,is_active,plan
1,Jordan,Lopez,jordan.lopez.1@example.com,2023-03-14,2023-10-20 14:48:35,6857.74,true,Pro
2,Taylor,Kim,taylor.kim.2@example.com,2023-05-07,2023-09-29 22:34:02,2417.69,true,Team
3,Casey,Smith,casey.smith.3@example.com,2025-12-15,2026-01-13 01:31:18,633.28,true,Enterprise
4,Morgan,Singh,morgan.singh.4@example.com,2024-01-26,2024-03-12 08:22:47,8567.19,true,Free
5,Riley,Müller,riley.müller.5@example.com,2025-04-08,2026-02-04 02:24:11,4960.31,true,Pro
6,Avery,Patel,avery.patel.6@example.com,2026-04-12,2027-03-10 15:52:14,9817.96,true,Team
7,Quinn,Brown,quinn.brown.7@example.com,2025-04-20,2026-02-19 13:47:00,6465.03,false,Enterprise
8,Sasha,Johnson,sasha.johnson.8@example.com,2024-02-25,2024-05-11 11:01:21,4336.69,true,Free
9,Drew,Garcia,drew.garcia.9@example.com,2024-04-19,2024-05-12 11:50:19,6047.14,true,Pro
10,Alex,Nguyen,alex.nguyen.10@example.com,2025-09-20,2026-03-28 07:58:33,2889.25,false,Team
11,Jordan,Lopez,jordan.lopez.11@example.com,2024-10-15,2025-03-28 11:45:39,3458.18,true,Enterprise
12,Taylor,Kim,taylor.kim.12@example.com,2023-07-06,2023-08-09 06:31:16,6696.91,true,Free
13,Casey,Smith,casey.smith.13@example.com,2025-08-29,2025-10-21 02:09:49,4728.05,true,Pro
14,Morgan,Singh,morgan.singh.14@example.com,2025-03-29,2026-01-29 20:14:38,9433.68,true,Team
15,Riley,Müller,riley.müller.15@example.com,2023-08-29,2024-03-04 02:55:56,7317.94,true,Enterprise
16,Avery,Patel,avery.patel.16@example.com,2024-04-25,2024-10-08 05:46:20,7307.14,true,Free
17,Quinn,Brown,quinn.brown.17@example.com,2024-06-21,2025-03-27 07:02:30,5213.09,true,Pro
18,Sasha,Johnson,sasha.johnson.18@example.com,2023-10-22,2023-12-22 01:51:55,8138.63,false,Team
19,Drew,Garcia,drew.garcia.19@example.com,2023-01-06,2023-04-03 09:47:59,4243.32,true,Enterprise
20,Alex,Nguyen,alex.nguyen.20@example.com,2023-09-07,2024-08-24 17:56:18,552.79,true,Free
21,Jordan,Lopez,jordan.lopez.21@example.com,2024-12-14,2025-07-14 03:41:17,6025.31,false,Pro
22,Taylor,Kim,taylor.kim.22@example.com,2026-01-12,2026-09-09 01:07:07,3406.46,true,Team
23,Casey,Smith,casey.smith.23@example.com,2025-05-04,2026-04-17 08:32:45,6594.80,true,Enterprise
24,Morgan,Singh,morgan.singh.24@example.com,2024-03-02,2024-03-22 07:07:25,1123.97,true,Free
25,Riley,Müller,riley.müller.25@example.com,2024-03-03,2024-11-08 09:43:55,7047.71,false,Pro
26,Avery,Patel,avery.patel.26@example.com,2023-04-21,2023-07-25 17:10:11,3443.27,false,Team
27,Quinn,Brown,quinn.brown.27@example.com,2025-05-19,2025-08-25 19:41:24,3228.35,true,Enterprise
28,Sasha,Johnson,sasha.johnson.28@example.com,2023-07-03,2023-12-06 22:33:34,8288.03,true,Free
29,Drew,Garcia,drew.garcia.29@example.com,2026-01-17,2026-11-27 16:59:19,2906.89,true,Pro
30,Alex,Nguyen,alex.nguyen.30@example.com,2025-10-04,2026-09-15 15:49:36,8373.09,true,Team
31,Jordan,Lopez,jordan.lopez.31@example.com,2024-09-08,2024-10-20 17:54:57,5440.60,false,Enterprise
32,Taylor,Kim,taylor.kim.32@example.com,2025-06-25,2025-07-21 18:22:11,7874.49,true,Free
33,Casey,Smith,casey.smith.33@example.com,2023-11-08,2023-11-18 03:37:28,936.99,true,Pro
34,Morgan,Singh,morgan.singh.34@example.com,2025-06-22,2026-01-10 20:54:04,7446.19,false,Team
35,Riley,Müller,riley.müller.35@example.com,2026-02-01,2026-07-12 06:17:58,6938.29,true,Enterprise
36,Avery,Patel,avery.patel.36@example.com,2024-09-19,2024-12-28 15:22:12,4039.99,true,Free
37,Quinn,Brown,quinn.brown.37@example.com,2024-11-14,2025-01-19 07:27:20,2682.20,true,Pro
38,Sasha,Johnson,sasha.johnson.38@example.com,2024-05-19,2024-10-29 19:35:37,8927.72,true,Team
39,Drew,Garcia,drew.garcia.39@example.com,2024-12-10,2025-04-04 21:36:32,9303.44,true,Enterprise
40,Alex,Nguyen,alex.nguyen.40@example.com,2024-09-09,2025-06-14 12:24:33,5432.68,true,Free
